,benchmark,model,ROC,precision @ rank,time
81,wine_benchmark_0021.csv,LOF,0.5534,0.4197,0.34
82,wine_benchmark_0021.csv,PCA,0.5362,0.424,0.018
83,wine_benchmark_0021.csv,LODA,0.5771,0.4376,0.092
84,wine_benchmark_0022.csv,KNN,0.5433,0.4101,0.2728
85,wine_benchmark_0022.csv,LOF,0.548,0.4125,0.317
86,wine_benchmark_0022.csv,PCA,0.5349,0.4095,0.016
87,wine_benchmark_0022.csv,LODA,0.48,0.3583,0.084
88,wine_benchmark_0023.csv,KNN,0.5483,0.4253,0.313
89,wine_benchmark_0023.csv,LOF,0.5599,0.4245,0.388
90,wine_benchmark_0023.csv,PCA,0.5398,0.4194,0.0145
91,wine_benchmark_0023.csv,LODA,0.6029,0.4543,0.095
92,wine_benchmark_0024.csv,KNN,0.5479,0.4102,0.22
93,wine_benchmark_0024.csv,LOF,0.5469,0.4028,0.363
94,wine_benchmark_0024.csv,PCA,0.5433,0.4139,0.014
95,wine_benchmark_0024.csv,LODA,0.5168,0.3925,0.089
96,wine_benchmark_0025.csv,KNN,0.5441,0.4077,0.299
97,wine_benchmark_0025.csv,LOF,0.5512,0.415,0.377
98,wine_benchmark_0025.csv,PCA,0.5384,0.4158,0.016
99,wine_benchmark_0025.csv,LODA,0.594,0.4577,0.071
100,wine_benchmark_0026.csv,KNN,0.5575,0.426,0.7541
101,wine_benchmark_0026.csv,LOF,0.5488,0.4231,1.0071
102,wine_benchmark_0026.csv,PCA,0.5435,0.4246,0.02
103,wine_benchmark_0026.csv,LODA,0.6099,0.467,0.102
104,wine_benchmark_0027.csv,KNN,0.549,0.4037,0.637
105,wine_benchmark_0027.csv,LOF,0.5274,0.3896,0.7146
106,wine_benchmark_0027.csv,PCA,0.5492,0.4082,0.02
107,wine_benchmark_0027.csv,LODA,0.6112,0.4662,0.09
108,wine_benchmark_0028.csv,KNN,0.5494,0.4195,0.6581
109,wine_benchmark_0028.csv,LOF,0.536,0.418,0.5981
110,wine_benchmark_0028.csv,PCA,0.5415,0.4195,0.018
111,wine_benchmark_0028.csv,LODA,0.5201,0.3973,0.091
112,wine_benchmark_0029.csv,KNN,0.5488,0.3858,0.5296
113,wine_benchmark_0029.csv,LOF,0.5355,0.3882,0.6871
114,wine_benchmark_0029.csv,PCA,0.5394,0.3913,0.017
115,wine_benchmark_0029.csv,LODA,0.5731,0.3953,0.086
116,wine_benchmark_0030.csv,KNN,0.5712,0.4313,0.5277
117,wine_benchmark_0030.csv,LOF,0.5371,0.401,0.536
118,wine_benchmark_0030.csv,PCA,0.5505,0.4136,0.026
119,wine_benchmark_0030.csv,LODA,0.6372,0.4793,0.096
120,wine_benchmark_0031.csv,KNN,0.5307,0.3915,0.8061
121,wine_benchmark_0031.csv,LOF,0.5198,0.3756,0.8371
122,wine_benchmark_0031.csv,PCA,0.5269,0.3912,0.027
123,wine_benchmark_0031.csv,LODA,0.4462,0.3148,0.067
124,wine_benchmark_0032.csv,KNN,0.5433,0.3947,0.9061
125,wine_benchmark_0032.csv,LOF,0.5215,0.3674,0.8621
126,wine_benchmark_0032.csv,PCA,0.5333,0.3902,0.041
127,wine_benchmark_0032.csv,LODA,0.5441,0.3886,0.083
128,wine_benchmark_0033.csv,KNN,0.546,0.4104,0.7456
129,wine_benchmark_0033.csv,LOF,0.5217,0.3945,0.8931
130,wine_benchmark_0033.csv,PCA,0.533,0.4162,0.028
131,wine_benchmark_0033.csv,LODA,0.5946,0.4566,0.079
132,wine_benchmark_0034.csv,KNN,0.5473,0.4085,0.9091
133,wine_benchmark_0034.csv,LOF,0.5256,0.3816,1.0543
134,wine_benchmark_0034.csv,PCA,0.5279,0.404,0.03
135,wine_benchmark_0034.csv,LODA,0.5298,0.3883,0.078
136,wine_benchmark_0035.csv,KNN,0.5366,0.392,0.9446
137,wine_benchmark_0035.csv,LOF,0.5164,0.3779,0.7441
138,wine_benchmark_0035.csv,PCA,0.5365,0.4046,0.04
139,wine_benchmark_0035.csv,LODA,0.5644,0.4217,0.086
140,wine_benchmark_0036.csv,KNN,0.5392,0.4084,1.4571
141,wine_benchmark_0036.csv,LOF,0.5238,0.402,1.6107
142,wine_benchmark_0036.csv,PCA,0.5255,0.4126,0.057
143,wine_benchmark_0036.csv,LODA,0.537,0.4119,0.084
144,wine_benchmark_0037.csv,KNN,0.5343,0.3947,1.3472
145,wine_benchmark_0037.csv,LOF,0.5256,0.3902,1.3566
146,wine_benchmark_0037.csv,PCA,0.5338,0.3962,0.054
147,wine_benchmark_0037.csv,LODA,0.4974,0.3673,0.079
148,wine_benchmark_0038.csv,KNN,0.5185,0.3799,1.2692
149,wine_benchmark_0038.csv,LOF,0.5171,0.3769,1.2325
150,wine_benchmark_0038.csv,PCA,0.5189,0.3792,0.06
151,wine_benchmark_0038.csv,LODA,0.5419,0.3984,0.071
152,wine_benchmark_0039.csv,KNN,0.5398,0.3981,1.4732
153,wine_benchmark_0039.csv,LOF,0.5225,0.3877,1.2257
154,wine_benchmark_0039.csv,PCA,0.5346,0.4062,0.067
155,wine_benchmark_0039.csv,LODA,0.5067,0.3663,0.073
156,wine_benchmark_0040.csv,KNN,0.5462,0.4098,1.5779
157,wine_benchmark_0040.csv,LOF,0.5278,0.386,1.5467
158,wine_benchmark_0040.csv,PCA,0.5415,0.4068,0.066
159,wine_benchmark_0040.csv,LODA,0.5476,0.4076,0.087
160,wine_benchmark_0041.csv,KNN,0.5387,0.3943,0.288
161,wine_benchmark_0041.csv,LOF,0.542,0.3883,0.389
162,wine_benchmark_0041.csv,PCA,0.5182,0.3845,0.016
163,wine_benchmark_0041.csv,LODA,0.404,0.2784,0.099
164,wine_benchmark_0042.csv,KNN,0.5339,0.3901,0.34
165,wine_benchmark_0042.csv,LOF,0.55,0.4024,0.3485
166,wine_benchmark_0042.csv,PCA,0.5235,0.3946,0.015
167,wine_benchmark_0042.csv,LODA,0.5749,0.4315,0.09
168,wine_benchmark_0043.csv,KNN,0.5219,0.3988,0.2791
169,wine_benchmark_0043.csv,LOF,0.5512,0.4098,0.352
170,wine_benchmark_0043.csv,PCA,0.5258,0.4076,0.017
171,wine_benchmark_0043.csv,LODA,0.5665,0.4186,0.103
172,wine_benchmark_0044.csv,KNN,0.5416,0.4086,0.362
173,wine_benchmark_0044.csv,LOF,0.554,0.4111,0.337
174,wine_benchmark_0044.csv,PCA,0.5213,0.3931,0.013
175,wine_benchmark_0044.csv,LODA,0.5445,0.4027,0.089
176,wine_benchmark_0045.csv,KNN,0.5429,0.4113,0.345
177,wine_benchmark_0045.csv,LOF,0.5498,0.4087,0.335
178,wine_benchmark_0045.csv,PCA,0.5223,0.4025,0.013
179,wine_benchmark_0045.csv,LODA,0.4934,0.3767,0.1101
180,wine_benchmark_0046.csv,KNN,0.537,0.3861,0.5726
181,wine_benchmark_0046.csv,LOF,0.526,0.3712,0.6271
182,wine_benchmark_0046.csv,PCA,0.5102,0.3839,0.019
183,wine_benchmark_0046.csv,LODA,0.494,0.363,0.097
184,wine_benchmark_0047.csv,KNN,0.5408,0.4045,0.591
185,wine_benchmark_0047.csv,LOF,0.5384,0.3951,0.7146
186,wine_benchmark_0047.csv,PCA,0.5195,0.403,0.019
187,wine_benchmark_0047.csv,LODA,0.5163,0.3944,0.09
188,wine_benchmark_0048.csv,KNN,0.5339,0.4059,0.54
189,wine_benchmark_0048.csv,LOF,0.5274,0.4052,0.6426
190,wine_benchmark_0048.csv,PCA,0.5112,0.4031,0.017
191,wine_benchmark_0048.csv,LODA,0.5797,0.448,0.101
192,wine_benchmark_0049.csv,KNN,0.5339,0.3862,0.609
193,wine_benchmark_0049.csv,LOF,0.5323,0.3855,0.7191
194,wine_benchmark_0049.csv,PCA,0.5156,0.3855,0.017
195,wine_benchmark_0049.csv,LODA,0.5452,0.4117,0.07
196,wine_benchmark_0050.csv,KNN,0.5284,0.3823,0.46
197,wine_benchmark_0050.csv,LOF,0.5361,0.3946,0.498
198,wine_benchmark_0050.csv,PCA,0.5167,0.3968,0.017
199,wine_benchmark_0050.csv,LODA,0.577,0.4433,0.0977
200,wine_benchmark_0051.csv,KNN,0.5421,0.3838,0.8121
201,wine_benchmark_0051.csv,LOF,0.5232,0.3732,0.9798
202,wine_benchmark_0051.csv,PCA,0.5209,0.3762,0.029
203,wine_benchmark_0051.csv,LODA,0.5097,0.3649,0.083
204,wine_benchmark_0052.csv,KNN,0.5305,0.3894,1.0046
205,wine_benchmark_0052.csv,LOF,0.5093,0.3763,1.0846
206,wine_benchmark_0052.csv,PCA,0.5177,0.3908,0.026
207,wine_benchmark_0052.csv,LODA,0.5863,0.4512,0.087
208,wine_benchmark_0053.csv,KNN,0.5267,0.3848,0.9601
209,wine_benchmark_0053.csv,LOF,0.5172,0.3714,0.9848
210,wine_benchmark_0053.csv,PCA,0.5186,0.3855,0.031
211,wine_benchmark_0053.csv,LODA,0.5492,0.4139,0.075
212,wine_benchmark_0054.csv,KNN,0.5063,0.3568,0.8451
213,wine_benchmark_0054.csv,LOF,0.4956,0.3512,0.8781
214,wine_benchmark_0054.csv,PCA,0.5014,0.364,0.031
215,wine_benchmark_0054.csv,LODA,0.5306,0.3776,0.093
216,wine_benchmark_0055.csv,KNN,0.5429,0.4151,0.9226
217,wine_benchmark_0055.csv,LOF,0.5293,0.4059,0.9281
218,wine_benchmark_0055.csv,PCA,0.5244,0.418,0.034
219,wine_benchmark_0055.csv,LODA,0.4735,0.3593,0.066
220,wine_benchmark_0056.csv,KNN,0.5162,0.3794,1.1828
221,wine_benchmark_0056.csv,LOF,0.5086,0.3816,1.3241
222,wine_benchmark_0056.csv,PCA,0.5128,0.3779,0.061
223,wine_benchmark_0056.csv,LODA,0.4895,0.3593,0.079
224,wine_benchmark_0057.csv,KNN,0.5248,0.3738,1.2918
225,wine_benchmark_0057.csv,LOF,0.5155,0.3708,1.2561
226,wine_benchmark_0057.csv,PCA,0.517,0.3768,0.066
227,wine_benchmark_0057.csv,LODA,0.5021,0.3552,0.091
228,wine_benchmark_0058.csv,KNN,0.5314,0.3952,1.1846
229,wine_benchmark_0058.csv,LOF,0.5213,0.3832,1.2716
230,wine_benchmark_0058.csv,PCA,0.5168,0.384,0.056
231,wine_benchmark_0058.csv,LODA,0.5007,0.3653,0.08
232,wine_benchmark_0059.csv,KNN,0.4977,0.359,1.1881
233,wine_benchmark_0059.csv,LOF,0.4882,0.3539,1.3621
234,wine_benchmark_0059.csv,PCA,0.4986,0.3727,0.057
235,wine_benchmark_0059.csv,LODA,0.4861,0.3677,0.09
236,wine_benchmark_0060.csv,KNN,0.5125,0.3781,1.3441
237,wine_benchmark_0060.csv,LOF,0.5008,0.3632,1.1521
238,wine_benchmark_0060.csv,PCA,0.5,0.364,0.058
239,wine_benchmark_0060.csv,LODA,0.4636,0.3343,0.071
240,wine_benchmark_0061.csv,KNN,0.5582,0.4186,0.23
241,wine_benchmark_0061.csv,LOF,0.5687,0.4193,0.355
242,wine_benchmark_0061.csv,PCA,0.5477,0.4298,0.013
243,wine_benchmark_0061.csv,LODA,0.5606,0.4251,0.086
244,wine_benchmark_0062.csv,KNN,0.557,0.4123,0.338
245,wine_benchmark_0062.csv,LOF,0.5604,0.4062,0.42
246,wine_benchmark_0062.csv,PCA,0.5538,0.4274,0.017
247,wine_benchmark_0062.csv,LODA,0.5356,0.3971,0.098
248,wine_benchmark_0063.csv,KNN,0.555,0.4332,0.332
249,wine_benchmark_0063.csv,LOF,0.5638,0.4332,0.439
250,wine_benchmark_0063.csv,PCA,0.5489,0.4375,0.024
251,wine_benchmark_0063.csv,LODA,0.6171,0.4599,0.085
252,wine_benchmark_0064.csv,KNN,0.5616,0.4202,0.3596
