,benchmark,model,AUC,precision @ rank,anomaly.rate,time
66,skin_benchmark_0017.csv,PCA,0.4578,0.1391,0.21566666666666667,0.023
67,skin_benchmark_0017.csv,LODA,0.4801,0.1692,0.21566666666666667,0.114
68,skin_benchmark_0018.csv,KNN,0.6301,0.2892,0.219,0.7323
69,skin_benchmark_0018.csv,LOF,0.5538,0.2055,0.219,1.2381
70,skin_benchmark_0018.csv,PCA,0.4577,0.1461,0.219,0.034
71,skin_benchmark_0018.csv,LODA,0.5269,0.1834,0.219,0.109
72,skin_benchmark_0019.csv,KNN,0.6201,0.2647,0.20716666666666667,0.8481
73,skin_benchmark_0019.csv,LOF,0.5676,0.222,0.20716666666666667,1.0271
74,skin_benchmark_0019.csv,PCA,0.4445,0.1191,0.20716666666666667,0.02
75,skin_benchmark_0019.csv,LODA,0.4757,0.1593,0.20716666666666667,0.102
76,skin_benchmark_0020.csv,KNN,0.6535,0.2823,0.20366666666666666,0.745
77,skin_benchmark_0020.csv,LOF,0.594,0.225,0.20366666666666666,1.0551
78,skin_benchmark_0020.csv,PCA,0.4593,0.1432,0.20366666666666666,0.021
79,skin_benchmark_0020.csv,LODA,0.4603,0.1408,0.20366666666666666,0.107
80,skin_benchmark_0021.csv,KNN,0.7423,0.317,0.21083333333333334,0.054
81,skin_benchmark_0021.csv,LOF,0.4799,0.1447,0.21083333333333334,0.077
82,skin_benchmark_0021.csv,PCA,0.7723,0.3573,0.21083333333333334,0.013
83,skin_benchmark_0021.csv,LODA,0.5966,0.1538,0.21083333333333334,0.117
84,skin_benchmark_0022.csv,KNN,0.6285,0.2688,0.2145,0.061
85,skin_benchmark_0022.csv,LOF,0.4919,0.1997,0.2145,0.106
86,skin_benchmark_0022.csv,PCA,0.6562,0.4109,0.2145,0.016
87,skin_benchmark_0022.csv,LODA,0.7298,0.3227,0.2145,0.115
88,skin_benchmark_0023.csv,KNN,0.5918,0.2354,0.21383333333333332,0.053
89,skin_benchmark_0023.csv,LOF,0.4745,0.1917,0.21383333333333332,0.094
90,skin_benchmark_0023.csv,PCA,0.5504,0.4365,0.21383333333333332,0.012
91,skin_benchmark_0023.csv,LODA,0.7659,0.5316,0.21383333333333332,0.137
92,skin_benchmark_0024.csv,KNN,0.634,0.2767,0.212,0.052
93,skin_benchmark_0024.csv,LOF,0.4869,0.1753,0.212,0.086
94,skin_benchmark_0024.csv,PCA,0.7259,0.467,0.212,0.013
95,skin_benchmark_0024.csv,LODA,0.7542,0.4591,0.212,0.154
96,skin_benchmark_0025.csv,KNN,0.7315,0.2995,0.20533333333333334,0.053
97,skin_benchmark_0025.csv,LOF,0.4549,0.1071,0.20533333333333334,0.078
98,skin_benchmark_0025.csv,PCA,0.771,0.3531,0.20533333333333334,0.01
99,skin_benchmark_0025.csv,LODA,0.7045,0.2752,0.20533333333333334,0.124
100,skin_benchmark_0026.csv,KNN,0.75,0.2864,0.20483333333333334,0.083
101,skin_benchmark_0026.csv,LOF,0.4251,0.1066,0.20483333333333334,0.121
102,skin_benchmark_0026.csv,PCA,0.7473,0.297,0.20483333333333334,0.012
103,skin_benchmark_0026.csv,LODA,0.6377,0.1709,0.20483333333333334,0.11
104,skin_benchmark_0027.csv,KNN,0.7255,0.2857,0.2065,0.074
105,skin_benchmark_0027.csv,LOF,0.4572,0.1348,0.2065,0.134
106,skin_benchmark_0027.csv,PCA,0.7353,0.2994,0.2065,0.014
107,skin_benchmark_0027.csv,LODA,0.7498,0.2914,0.2065,0.133
108,skin_benchmark_0028.csv,KNN,0.7341,0.2936,0.19866666666666666,0.074
109,skin_benchmark_0028.csv,LOF,0.4622,0.104,0.19866666666666666,0.125
110,skin_benchmark_0028.csv,PCA,0.7268,0.2475,0.19866666666666666,0.012
111,skin_benchmark_0028.csv,LODA,0.724,0.3154,0.19866666666666666,0.092
